absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,is_sentry_object,epoch_date_close_approach,relative_velocity_km_per_sec,miss_distance_kilometers
27.13,0.0099667824,0.022286403,False,True,1735885320000,11.5602531925,153127.347506697
25.74,0.0189040552,0.0422707525,False,False,1735909740000,16.7458318545,6288669.776366644
26.85,0.0113384836,0.0253536201,False,False,1735926420000,14.6021228615,1091513.33244692
28.75,0.0047266667,0.010569148,False,True,1735924920000,9.8164056072,459327.199940949
27.04,0.010388551,0.0232295062,False,False,1735929000000,8.4915769333,706413.349326192
25.7,0.0192555078,0.0430566244,False,False,1735866180000,7.1376457399,7830455.179602987
26.47,0.013506878,0.0302022973,False,False,1735863540000,8.2396904194,7947528.079099067
23.12,0.0631764148,0.1412667581,False,False,1735914900000,12.0852264257,20430381.24314568
19.9,0.2783267681,0.6223575734,False,False,1735791960000,17.4222331843,15830336.75368406
23.98,0.0425162524,0.0950692305,False,False,1735796280000,17.9086965031,53240801.671820946
28.1,0.0063760979,0.0142573883,False,False,1735787280000,15.3371937843,42733613.705436125
26.6,0.0127219879,0.0284472297,False,False,1735826400000,25.6759881383,72149352.40152915
21.97,0.1072889455,0.2399053753,False,False,1735830180000,11.9983603675,24373475.96157024
25.61,0.0200703514,0.0448786701,False,False,1735835100000,22.7966474576,66096247.494589694
22.48,0.0848310762,0.189688053,False,False,1735835940000,12.4314874464,18639595.585777443
26.1,0.0160160338,0.0358129403,False,False,1735813320000,5.1027498837,40941595.58601589
26.0,0.0167708462,0.0375007522,False,False,1735777380000,12.6061556875,41802119.06605575
24.54,0.0328514828,0.0734581487,False,False,1735798680000,11.5515942115,57230310.206517674
26.33,0.0144063837,0.0322136532,False,False,1735812720000,9.5944349644,49729029.56671141
27.97,0.0067694748,0.0151370059,False,False,1735861320000,4.8695813606,25623356.202202097
24.57,0.0324007435,0.0724502651,False,False,1735802100000,8.4207397855,7568817.944598584
26.0,0.0167708462,0.0375007522,False,False,1735841280000,2.839333716,13658066.37012045
25.45,0.0216050351,0.0483103272,False,False,1735839360000,3.6956346823,9453011.883683765
25.76,0.0187307418,0.0418832119,False,False,1735786380000,13.5690330333,1938313.915635721
24.6,0.0319561887,0.0714562102,False,False,1735817400000,16.2042977054,8089871.903503406
25.74,0.0189040552,0.0422707525,False,False,1735781520000,20.7411443242,3348567.216768578
27.82,0.0072536229,0.016219594,False,False,1735787160000,21.2159080739,1582435.722210165
29.02,0.0041740243,0.0093334022,False,False,1735857360000,4.2789783774,140221.389663927
26.09,0.0160899605,0.0359782453,False,False,1735807260000,13.522628461,1245828.801196944
24.68,0.0308003021,0.0688715693,False,False,1735795320000,9.8631484964,7292137.013148898
27.94,0.0068636476,0.0153475826,False,True,1735783980000,8.1109076864,527693.187174357
25.88,0.0177237239,0.0396314515,False,False,1735757460000,8.3173566881,49668157.47533864
27.12,0.010012787,0.0223892723,False,False,1735725240000,8.1996036081,70334863.48525196
26.21,0.0152249185,0.0340439527,False,False,1735766280000,24.3814294261,70563038.69861434
26.22,0.0151549664,0.033887535,False,False,1735728900000,5.7987642551,14250723.733843775
24.87,0.0282198679,0.063101543,False,False,1735724940000,8.7690673962,9147401.985409645
26.44,0.0136947774,0.0306224531,False,False,1735767480000,4.0085267342,1676103.96014581
23.68,0.0488151892,0.1091540813,False,False,1735698720000,21.4762910009,10850468.268861296
28.73,0.004770402,0.0106669431,False,False,1735715640000,4.7580939652,1290408.727100352
26.18,0.0154367182,0.0345175513,False,False,1735743120000,5.8480710628,8500461.014985574
27.91,0.0069591304,0.0155610887,False,False,1735717140000,14.1845754203,1264885.131389663
29.49,0.0033616692,0.0075169209,False,False,1735709040000,2.645140072,671017.850013351
24.57,0.0324007435,0.0724502651,False,False,1735726680000,15.9737833452,6422853.366077797
13.82,4.5767266723,10.2338719537,False,False,1736343600000,8.248698875,12296605.087478507
19.49,0.3361669212,0.7516920875,False,False,1736346720000,14.1497502192,26800560.540965848
27.2,0.0096506147,0.0215794305,False,False,1736296980000,13.5818178365,19541496.47531868
25.09,0.0255008688,0.0570216761,False,False,1736345700000,7.0312838109,45581702.56458096
27.4,0.0088014652,0.0196806745,False,False,1736354820000,9.0801480023,40671208.9251073
26.6,0.0127219879,0.0284472297,False,False,1736369220000,16.8547879585,46538177.43028861
24.7,0.0305179233,0.0682401509,False,False,1736339400000,15.5618664057,36464891.71296953
26.86,0.011286388,0.0252371308,False,False,1736352660000,9.2473780111,18530659.89786236
25.3,0.0231502122,0.0517654482,False,False,1736311500000,8.6110621832,23597208.156123716
23.34,0.057089334,0.1276556316,False,False,1736373180000,3.3035745717,62769908.89068633
26.5,0.0133215567,0.0297879063,False,True,1736346840000,21.2500806992,15260823.73626758
22.43,0.0868070458,0.1941064553,False,False,1736306340000,13.101129605,59133620.74877739
24.63,0.0315177333,0.0704757942,False,False,1736316000000,14.2152333927,45297049.48784004
26.03,0.0165407416,0.0369862226,False,False,1736377620000,9.1139227197,4530223.722781611
26.1,0.0160160338,0.0358129403,False,False,1736322720000,11.9510765125,3391681.981133206
23.86,0.04493192,0.1004708274,False,False,1736297580000,12.4978664864,21238989.53500284
25.72,0.0190789723,0.0426618789,False,False,1736364300000,8.4146669385,11856715.03406815
25.81,0.018304378,0.0409298336,False,False,1736300880000,6.4164095885,17568841.441117667
25.3,0.0231502122,0.0517654482,False,False,1737059520000,15.6724825019,39660831.313916154
23.9,0.04411182,0.0986370281,False,False,1737046980000,7.2565355753,71736247.727064
24.1,0.040230458,0.0899580388,False,False,1737052500000,7.7841279675,42681236.02047854
24.4,0.0350392641,0.0783501764,False,False,1736987340000,7.5951463397,69592130.51073079
23.61,0.0504144434,0.1127301225,False,False,1736989260000,16.8130284141,46375935.32391941
25.18,0.0244655496,0.0547066321,False,False,1737030780000,27.400105586,69603038.85829587
29.26,0.0037372743,0.0083567994,False,False,1736993700000,8.587589925,16378616.2383872
24.6,0.0319561887,0.0714562102,False,False,1737055080000,9.9089447983,22396849.89678944
22.71,0.0763053479,0.1706239449,False,False,1737056400000,22.7846865863,52142644.787726045
22.29,0.0925880583,0.2070331923,False,False,1737032040000,13.1959317302,4231564.171467265
24.8,0.0291443905,0.0651688382,False,False,1736989620000,4.7349916625,35108631.97818706
23.85,0.0451393163,0.1009345797,False,False,1737029040000,19.0279128779,58948924.25643757
24.54,0.0328514828,0.0734581487,False,False,1736997480000,13.092731798,32392379.93704712
22.45,0.086011194,0.1923268766,False,False,1737022680000,12.5844841869,19042917.09809693
24.25,0.0375452479,0.0839537266,False,False,1736988180000,5.0609168372,7813953.547196045
24.98,0.0268259417,0.0599846292,False,False,1737003360000,4.0576616312,16643538.448139573
29.68,0.0030800302,0.0068871569,False,True,1737028380000,7.2336267877,648258.13479006
24.75,0.0298232505,0.0666868155,False,False,1737034920000,8.3970430621,4781450.830967176
25.56,0.02053785,0.0459240286,False,False,1737071820000,6.8487799225,2180524.461000646
26.57,0.0128989683,0.02884297,False,False,1737001080000,10.3250312647,5738329.221969366
20.86,0.1788771952,0.3999815682,False,False,1736975520000,11.0685256598,21123091.54725817
25.8,0.0183888672,0.0411187571,False,False,1736938620000,13.6672436046,36314173.818676636
23.9,0.04411182,0.0986370281,False,False,1736904360000,13.1846896317,35787058.707591526
22.79,0.0735453089,0.1644523102,False,False,1736899800000,27.6270254009,11707963.768334053
24.9,0.0278326768,0.0622357573,False,False,1736940120000,11.7706513681,57815222.63419472
28.15,0.0062309602,0.0139328506,False,False,1736969520000,13.4338227841,42118893.40848861
24.4,0.0350392641,0.0783501764,False,False,1736952780000,10.8724443124,6335217.647290115
29.16,0.0039134066,0.0087506433,False,False,1736952660000,15.2635564231,73014318.50447418
23.5,0.0530340723,0.1185877909,False,False,1736932740000,8.7966845005,10836741.332867753
25.03,0.0262153087,0.0586192124,False,False,1736979240000,6.6120555309,15848450.228341317
24.34,0.0360209346,0.0805452583,False,False,1736901720000,7.237356434,13202264.339267543
24.27,0.037201031,0.0831840342,False,False,1736971560000,19.6309269825,11873808.565407533
21.01,0.1669379118,0.3732845187,False,False,1736970360000,24.9914295124,17785406.468507852
26.23,0.0150853356,0.0337318359,False,False,1736921700000,11.6874249252,4490354.79836216
23.89,0.0443154309,0.099092316,False,False,1736945940000,19.0456307086,5010992.516153494
27.43,0.0086807046,0.0194106455,False,False,1736973780000,17.624070422,430122.987995502
24.56,0.0325502986,0.0727846803,False,False,1736928840000,12.6552740088,11617807.08608028
20.69,0.193443872,0.4325536477,True,False,1736893980000,26.9373528737,17371524.962223362
25.26,0.0235806068,0.0527278398,False,False,1736818380000,7.0328161372,7315337.907450606
21.41,0.138852907,0.310484539,True,False,1736872140000,9.7933235468,20426799.92997703
26.9,0.0110803882,0.0247765013,False,False,1736837940000,6.6877944213,63564543.20062744
19.98,0.2682594171,0.5998462923,False,False,1736882880000,11.5485581652,12016268.208482828
28.9,0.004411182,0.0098637028,False,False,1736859120000,3.355938886,30555004.611110527
26.1,0.0160160338,0.0358129403,False,False,1736841480000,24.7105750439,72046112.14388156
24.75,0.0298232505,0.0666868155,False,False,1736895720000,19.0565424016,63941052.15206874
25.21,0.0241298697,0.0539560289,False,False,1736890500000,7.0513345,66926880.183259755
27.27,0.0093444765,0.0208948847,False,True,1736878800000,22.9136403845,69697730.5999787
24.62,0.0316632126,0.0708010957,False,False,1736885880000,7.8893429873,15073459.554870768
25.11,0.0252670754,0.0564988982,False,False,1736878380000,6.6190536067,14088267.283646436
25.75,0.0188171989,0.042076536,False,False,1736859780000,10.6254505459,4462631.336053547
24.4,0.0350392641,0.0783501764,False,False,1736820660000,9.24001285,6177886.150842808
22.56,0.0817626533,0.1828268509,False,False,1736833380000,19.9776295852,14446569.725515127
27.59,0.0080640828,0.0180318372,False,True,1736887680000,13.4611357539,274971.252192391
24.68,0.0308003021,0.0688715693,False,False,1736822760000,8.6695399384,4502777.25588909
19.98,0.2682594171,0.5998462923,False,False,1736882880000,11.5485581742,12016268.44783942
24.32,0.0363542322,0.0812905344,False,False,1736864700000,12.6480939606,11700950.680027602
24.5,0.0334622374,0.0748238376,False,False,1736773920000,11.5990472098,21591690.62870449
18.9,0.4411182,0.9863702813,False,False,1736794980000,17.6015523752,41747245.57999381
24.0,0.0421264611,0.0941976306,False,False,1736786580000,7.1157932928,53567479.52788589
18.12,0.6317641482,1.4126675811,False,False,1736810940000,12.0498524043,33497847.803687
24.3,0.0366906138,0.0820427065,False,False,1736808360000,19.8822867801,73699997.43942049
26.9,0.0110803882,0.0247765013,False,True,1736763600000,8.176692998,13359180.581947304
21.98,0.1067959975,0.2388031102,False,False,1736786220000,26.606267717,74778569.0002946
27.89,0.0070235225,0.0157050737,False,False,1736787300000,18.9277637098,58199644.9838437
25.1,0.0253837029,0.0567596853,False,False,1736743140000,11.4323563883,44276604.47855021
25.11,0.0252670754,0.0564988982,False,False,1736744820000,26.4371401615,51192538.27342472
24.53,0.0330031183,0.0737972161,False,False,1736748660000,8.7048229381,5947881.639766284
26.94,0.0108781483,0.0243242791,False,False,1736807700000,6.2823788524,10178763.929182302
27.58,0.0081013049,0.0181150684,False,False,1736782260000,7.4663124731,36898816.0127613
26.88,0.0111829138,0.0250057554,False,False,1736802960000,10.39131851,3151350.085819741
22.22,0.0956213733,0.2138158908,False,False,1736732760000,21.0410257838,22691127.158019576
26.82,0.0114962176,0.0257063241,False,True,1736811660000,17.2294677911,1094076.497472139
25.29,0.0232570687,0.0520043867,False,False,1736809740000,14.9174749625,1324015.35004352
27.05,0.01034082,0.0231227764,False,False,1736782560000,5.0988330654,27406948.34127288
